model,epoch,train_loss,val_loss,train_acc,val_acc,lr
QTL_Baseline,1,1.13346,0.81445,65.446,81.481,0.001
QTL_Baseline,2,0.84881,0.69555,81.389,88.796,0.001
QTL_Baseline,3,0.78108,0.68133,84.315,88.426,0.001
QTL_Baseline,4,0.75545,0.71558,85.987,86.852,0.001
QTL_Baseline,5,0.73331,0.64075,86.923,88.981,0.001
QTL_Baseline,6,0.72508,0.61967,86.744,90.463,0.001
QTL_Baseline,7,0.72974,0.6005,86.485,92.037,0.001
QTL_Baseline,8,0.68651,0.64651,88.893,89.352,0.001
QTL_Baseline,9,0.69705,0.63829,87.878,89.907,0.001
QTL_Baseline,10,0.69187,0.60726,88.515,91.019,0.001
QTL_Baseline,11,0.63793,0.54388,91.441,94.259,0.0001
QTL_Baseline,12,0.57736,0.50836,94.228,95.833,0.0001
QTL_Baseline,13,0.548,0.5268,95.641,95.463,0.0001
QTL_Baseline,14,0.54499,0.51367,95.521,95.463,0.0001
QTL_Baseline,15,0.53487,0.49674,96.537,96.481,0.0001
QTL_Baseline,16,0.52009,0.47954,96.975,97.13,0.0001
QTL_Baseline,17,0.50558,0.48093,97.492,97.13,0.0001
QTL_Baseline,18,0.49862,0.49284,97.87,96.852,0.0001
QTL_Baseline,19,0.493,0.46361,98.428,98.241,0.0001
QTL_Baseline,20,0.48965,0.45576,98.229,98.704,0.0001
QTL_Baseline,21,0.48865,0.45024,98.368,99.074,0.0001
QTL_Baseline,22,0.48469,0.45907,98.388,98.426,0.0001
QTL_Baseline,23,0.4858,0.45775,98.408,98.426,0.0001
QTL_Baseline,24,0.48092,0.44862,98.686,98.796,0.0001
QTL_Baseline,25,0.48,0.44879,98.905,98.889,0.0001
QTL_Baseline,26,0.47764,0.45994,98.905,98.333,0.0001
QTL_Baseline,27,0.47385,0.45437,99.045,98.611,0.0001
QTL_Baseline,28,0.47557,0.45487,98.905,98.981,0.0001
QTL_Baseline,29,0.47671,0.4536,98.905,98.519,0.0001
QTL_Baseline,30,0.47249,0.45768,98.925,98.426,5e-05
QTL_Baseline,31,0.46663,0.46299,99.283,98.333,5e-05
QTL_Baseline,32,0.46358,0.45771,99.383,98.519,5e-05
QTL_Baseline,33,0.46313,0.45393,99.383,98.704,5e-05
QTL_Baseline,34,0.46314,0.44493,99.522,99.259,5e-05
QTL_Baseline,35,0.46348,0.44671,99.323,99.259,5e-05
QTL_Baseline,36,0.46208,0.44544,99.542,99.074,5e-05
QTL_Baseline,37,0.45967,0.44382,99.482,99.074,5e-05
QTL_Baseline,38,0.46035,0.44423,99.542,99.259,5e-05
QTL_Baseline,39,0.45932,0.44184,99.602,99.167,5e-05
QTL_Baseline,40,0.46036,0.44835,99.482,99.167,5e-05
QTL_Baseline,41,0.45792,0.44381,99.622,99.259,5e-05
QTL_Baseline,42,0.45792,0.44179,99.522,99.167,5e-05
QTL_Baseline,43,0.45764,0.44282,99.482,99.444,5e-05
QTL_Baseline,44,0.45723,0.44832,99.582,98.889,5e-05
QTL_Baseline,45,0.4567,0.44435,99.662,99.167,5e-05
QTL_Baseline,46,0.46149,0.44423,99.463,99.167,5e-05
QTL_Baseline,47,0.45574,0.44602,99.761,99.074,5e-05
QTL_Baseline,48,0.46065,0.44537,99.443,99.074,2.5e-05
QTL_Baseline,49,0.45268,0.44322,99.781,99.259,2.5e-05
QAH_Proposed,1,0.83637,0.68612,81.628,88.333,0.001
QAH_Proposed,2,0.71201,0.62727,87.301,91.111,0.001
QAH_Proposed,3,0.68428,0.62459,88.436,91.389,0.001
QAH_Proposed,4,0.66957,0.6326,89.411,91.019,0.001
QAH_Proposed,5,0.66088,0.60873,89.689,91.389,0.001
QAH_Proposed,6,0.64921,0.59872,89.689,92.315,0.001
QAH_Proposed,7,0.64874,0.6294,90.088,91.019,0.001
QAH_Proposed,8,0.6408,0.61961,90.605,91.019,0.001
QAH_Proposed,9,0.63668,0.61096,90.963,91.944,0.001
QAH_Proposed,10,0.62697,0.6102,91.521,91.389,0.001
QAH_Proposed,11,0.58206,0.54412,93.511,94.63,0.0001
QAH_Proposed,12,0.5355,0.52858,95.701,95.648,0.0001
QAH_Proposed,13,0.5134,0.49646,96.756,96.852,0.0001
QAH_Proposed,14,0.49509,0.48899,97.711,97.5,0.0001
QAH_Proposed,15,0.48594,0.48421,98.229,97.87,0.0001
QAH_Proposed,16,0.48782,0.48443,97.91,97.315,0.0001
QAH_Proposed,17,0.47285,0.47825,98.607,97.593,0.0001
QAH_Proposed,18,0.47254,0.47354,98.428,97.87,0.0001
QAH_Proposed,19,0.4682,0.45697,98.786,98.704,0.0001
QAH_Proposed,20,0.4686,0.45241,98.846,99.074,0.0001
QAH_Proposed,21,0.46502,0.4562,98.846,98.796,0.0001
